"Noncode_id","Lncbook_id","UID","target","gene_name","ensembl_id","num_id","PMID","NCBI_id","reason_summary","Organism","Alias","chr","start","end","strand","cancer_related","disease_related","vivo","vitro"
"NONHSAG025137.3","HSALNG0124643","ELH001326","AC005253.4","N.A.","ENSG00000268983.1","11","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","18568506","18569375","-","0","0","0","1"
"NONHSAG024354.2","HSALNG0123007","ELH001306","AC005330.2","N.A.","ENSG00000267372.2","12","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","1321225","1322846","+","0","0","0","1"
"NONHSAG024542.2","HSALNG0123419","ELH001382","AC005523.3","N.A.","ENSG00000268536.3","13","30395134","124904620","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","4785120","4791207","-","0","0","0","1"
"NONHSAG025157.3","HSALNG0124679","ELH001327","AC005932.1","HOMER3-AS1","ENSG00000269019.3","14","30395134","102724360","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","18940322","18946831","+","0","0","0","1"
"NONHSAG033298.2","HSALNG0134085","ELH001735","AC006547.13","N.A.","ENSG00000236540.7","15","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","20062980","20070543","-","0","0","0","1"
"NONHSAG096130.2","HSALNG0056090","ELH002355","AC007009.1","N.A.","ENSG00000244239.2","16","30395134","100505938","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","8262233","8262821","+","0","0","0","1"
"NONHSAG033328.2","HSALNG0147365","ELH001737","AC007050.17","N.A.","ENSG00000236003.1","17","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","20522070","20523870","-","0","0","0","1"
"NONHSAG083894.1","HSALNG0134179","ELH001739","AC007308.7","N.A.","ENSG00000272600.1","18","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","20889206","20891214","-","0","0","0","1"
"NONHSAG029792.3","HSALNG0020311","ELH001467","AC007405.8","N.A.","ENSG00000234350.8","19","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","170816293","170818037","-","0","0","0","1"
"NONHSAG030487.2","HSALNG0022142","ELH001533","AC007563.3","DIRC3-AS1,LINC01921","ENSG00000223874.4","20","30395134","101928278","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","216799608","216805335","+","0","0","0","1"
"NONHSAG048201.2","HSALNG0059539","ELH002362","AC007566.10","N.A.","ENSG00000244055.3","21","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","92457564","92491610","+","0","0","0","1"
"NONHSAG042050.2","N.A.","ELH002035","AC008694.3","N.A.","ENSG00000290601.2","22","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","157682985","157690266","-","0","0","0","1"
"NONHSAG019049.2","HSALNG0110643","ELH000909","AC009133.15","N.A.","ENSG00000259952.1","23","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","29806496","29807732","-","0","0","0","1"
"NONHSAG029668.3","HSALNG0019994","ELH001466","AC009299.3","LINC01806","ENSG00000227403.4","24","30395134","100996579","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","161244739","161249050","+","0","0","0","1"
"NONHSAG021335.2","HSALNG0115514","ELH001043","AC010761.10","N.A.","ENSG00000265840.1","25","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","28749731","28750079","-","0","0","0","1"
"NONHSAG028817.2","HSALNG0017572","ELH001427","AC012360.4","N.A.","ENSG00000235319.1","26","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","105324210","105330529","+","0","0","0","1"
"NONHSAG029267.2","HSALNG0018825","ELH001456","AC013269.4","N.A.","ENSG00000225341.1","27","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","130530275","130537182","+","0","0","0","1"
"NONHSAG026743.3","HSALNG0127993","ELH001410","AC016629.8","MZF1-AS1","ENSG00000267858.9","28","30395134","100131691","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","58559129","58574797","+","0","0","0","1"
"NONHSAG027598.3","HSALNG0014509","ELH001577","AC016735.1","LINC01819","ENSG00000231826.9","29","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","43001355","43006060","-","0","0","0","1"
"NONHSAG028720.3","HSALNG0017340","ELH001424","AC016738.4","N.A.","ENSG00000223947.1","30","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","100993676","101002244","-","0","0","0","1"
"NONHSAG028948.3","HSALNG0017884","ELH001439","AC017002.1","SOCAR","ENSG00000240350.4","31","30395134","105373557","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","111491273","111510990","+","0","0","0","1"
"NONHSAG047471.2","HSALNG0057618","ELH002307","AC017116.11","N.A.","ENSG00000239775.1","32","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","44064908","44066079","+","0","0","0","1"
"N.A.","N.A.","ELH001389","AC018766.4","N.A.","N.A.","33","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","49859882","49860514","-","0","0","0","1"
"NONHSAG026274.3","HSALNG0127038","ELH001387","AC018766.6","N.A.","ENSG00000268047.2","34","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","49852887","49854967","-","0","0","0","1"
"NONHSAG028870.3","HSALNG0017707","ELH001434","AC019100.3","LINC01593,LINC01594","ENSG00000225328.2","35","30395134","102724774","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","108167748","108217841","-","0","0","0","1"
"NONHSAG037164.2","HSALNG0032050","ELH001867","AC024560.2","N.A.","ENSG00000236833.2","36","30395134","124906331","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","197660565","197665757","-","0","0","0","1"
"NONHSAG011439.2","HSALNG0091643","ELH000598","AC025165.8","N.A.","ENSG00000224713.5","37","30395134","101927583","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr12","57612118","57619638","-","0","0","0","1"
"NONHSAG040542.3","HSALNG0042321","ELH002080","AC025442.3","N.A.","ENSG00000253744.1","38","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","66144156","66144795","-","0","0","0","1"
"NONHSAG019158.2","HSALNG0110871","ELH000922","AC026471.6","N.A.","ENSG00000260740.2","39","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","31487370","31488492","-","0","0","0","1"
"NONHSAG073406.2","HSALNG0119027","ELH001203","AC061992.2","N.A.","ENSG00000267737.2","40","30395134","105371912","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","78315729","78347798","+","0","0","0","1"
"NONHSAG029124.2","HSALNG0018424","ELH001453","AC067960.1","N.A.","ENSG00000234455.2","41","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","121081437","121088726","-","0","0","0","1"
"NONHSAG025964.2","HSALNG0126410","ELH001369","AC067968.3","N.A.","ENSG00000267144.2","42","30395134","105372414","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","44023604","44025262","-","0","0","0","1"
"NONHSAG025744.2","HSALNG0125913","ELH001354","AC067969.2","N.A.","ENSG00000268055.3","43","30395134","124904710","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","38535517","38537128","-","0","0","0","1"
"NONHSAG029933.3","HSALNG0020654","ELH001479","AC079305.10","N.A.","ENSG00000222043.2","44","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","177264359","177265515","+","0","0","0","1"
"NONHSAG028713.2","HSALNG0017317","ELH001423","AC092168.3","LINC01868","ENSG00000234169.2","45","30395134","107985924","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","100669892","100676038","-","0","0","0","1"
"NONHSAG028083.2","HSALNG0146500","ELH001608","AC092431.3","N.A.","ENSG00000231024.1","46","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","69700192","69713847","-","0","0","0","1"
"NONHSAG047543.2","HSALNG0057841","ELH002310","AC095067.1","LINC01447","ENSG00000236078.3","47","27798563","101929086","[CRISPR delete] Verified by the CRISPR delete experiment. ","Human","N.A.","chr7","47621939","47629893","+","0","0","0","1"
"NONHSAG029336.2","HSALNG0146607","ELH001459","AC097532.2","N.A.","ENSG00000230803.1","48","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","132285795","132294377","-","0","0","0","1"
"NONHSAG046765.2","HSALNG0055652","ELH002273","AC102953.4","N.A.","ENSG00000225981.4","49","30395134","107986756","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","1459937","1464008","+","0","0","0","1"
"N.A.","HSALNG0146598","ELH001458","AC103564.7","N.A.","ENSG00000229203.1","50","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","131829801","131832031","-","0","0","0","1"
"NONHSAG028403.2","HSALNG0016538","ELH001618","AC105053.3","N.A.","ENSG00000229498.1","51","30395134","284950","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","85815130","85825391","+","0","0","0","1"
"NONHSAG007452.2","HSALNG0082274","ELH000409","AC108448.3","N.A.","ENSG00000234791.2","52","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr11","3189546","3189929","+","0","0","0","1"
"NONHSAG026854.2","HSALNG0012581","ELH001574","AC108488.4","N.A.","ENSG00000242282.7","53","27798563","N.A.","[CRISPR delete] Verified by the CRISPR delete experiment. ","Human","N.A.","chr2","3531813","3536873","-","0","0","0","1"
"NONHSAG020616.2","HSALNG0114087","ELH001135","AC109333.10","KIF1C-AS1","ENSG00000227495.2","54","30395134","102724009","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","5019214","5020093","-","0","0","0","1"
"NONHSAG037083.2","HSALNG0031857","ELH001861","AC124944.3","TNK2-AS1","ENSG00000224614.3","55","30395134","100128262","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","195912049","195913986","+","0","0","0","1"
"NONHSAG037080.2","HSALNG0031848","ELH001859","AC124944.5","LINC01983","ENSG00000223783.2","56","30395134","101929697","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","195836193","195860404","-","0","0","0","1"
"NONHSAG037146.2","HSALNG0032013","ELH001866","AC128709.3","N.A.","ENSG00000235126.2","57","30395134","105374308","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","197445061","197458323","-","0","0","0","1"
"N.A.","HSALNG0144734","ELH000920","AC135048.13","N.A.","ENSG00000261487.1","58","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","30948386","30956511","+","0","0","0","1"
"NONHSAG023051.3","HSALNG0119346","ELH001217","AC137723.5","N.A.","ENSG00000235296.3","59","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","81941869","81947601","+","0","0","0","1"
"NONHSAG071929.1","HSALNG0144826","ELH001007","AC137932.4","N.A.","ENSG00000268218.1","60","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","89268104","89273044","+","0","0","0","1"
"NONHSAG020339.3","HSALNG0113599","ELH001008","AC137932.5","N.A.","ENSG00000260279.4","61","30395134","105371414","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","89297508","89298317","+","0","0","0","1"
"NONHSAG046730.2","HSALNG0055523","ELH002302","AC226118.1","N.A.","ENSG00000249574.1","62","30395134","442497","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","379359","382712","+","0","0","0","1"
"NONHSAG058128.2","HSALNG0007053","ELH000054","ADAMTSL4-AS1","ADAMTSL4-AS1","ENSG00000203804.5","63","30395134","574406","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr1","150560202","150574552","-","0","0","0","1"
"NONHSAG054432.3","HSALNG0137807","ELH002664","AF196970.3","N.A.","ENSG00000232828.2","64","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chrX","48698963","48737163","-","0","0","0","1"
"NONHSAG016110.2","HSALNG0144299","ELH000700","AL928742.12","N.A.","N.A.","65","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr14","105597691","105600209","-","0","0","0","1"
"NONHSAG008952.3","HSALNG0085490","ELH000470","ALG1L9P","N.A.","ENSG00000293546.1","66","30395134","122319435","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr11","71794363","71818238","-","0","0","0","1"
"NONHSAG033170.2","HSALNG0133818","ELH001724","ANKRD62P1-PARP4P3","N.A.","ENSG00000189295.13","67","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","16654066","16675540","-","0","0","0","1"
"NONHSAG033471.2","HSALNG0134397","ELH001749","AP000344.3","LINC01659","ENSG00000234928.4","68","30395134","101929374","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","23433564","23435071","+","0","0","0","1"
"NONHSAG033528.2","HSALNG0134516","ELH001753","AP000356.2","N.A.","ENSG00000230947.2","69","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","24598054","24599398","+","0","0","0","1"
"NONHSAG032537.2","HSALNG0132340","ELH001685","AP000469.2","LINC01689","ENSG00000224832.2","70","30395134","101927869","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr21","24304550","24321377","-","0","0","0","1"
"NONHSAG083209.2","HSALNG0133503","ELH001708","AP001058.3","N.A.","ENSG00000232124.4","71","30395134","105372832","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr21","44206525","44207399","-","0","0","0","1"
"NONHSAG110858.1","HSALNG0133528","ELH001709","AP001062.9","N.A.","ENSG00000232969.2","72","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr21","44339376","44340470","+","0","0","0","1"
"NONHSAG033105.3","HSALNG0147096","ELH001713","AP001476.2","N.A.","ENSG00000224413.1","73","30395134","105372842","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr21","46037052","46039807","+","0","0","0","1"
"NONHSAG033107.3","HSALNG0133697","ELH001714","AP001476.3","N.A.","ENSG00000226115.2","74","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr21","46056516","46057567","+","0","0","0","1"
"NONHSAG008654.2","HSALNG0143197","ELH000448","AP003068.9","N.A.","ENSG00000254501.1","75","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr11","65110714","65111695","-","0","0","0","1"
"NONHSAG010117.2","HSALNG0088428","ELH000393","AP005135.2","LINC02684,LINC02717","ENSG00000255512.2","76","30395134","105369589","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr11","135061781","135075899","-","0","0","0","1"
"NONHSAG008615.2","HSALNG0084796","ELH000445","AP005273.1","N.A.","ENSG00000232500.2","77","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr11","64500853","64505386","+","0","0","0","1"
"NONHSAG074661.2","HSALNG0120581","ELH001240","AQP4-AS1","AQP4-AS1","ENSG00000260372.8","78","30395134","147429","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr18","26655742","27190698","+","0","0","0","1"
"NONHSAG036255.2","HSALNG0029431","ELH001831","ATP1B3-AS1","ATP1B3-AS1","ENSG00000244124.1","79","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","141918252","141919021","-","0","0","0","1"
"NONHSAG018621.3","HSALNG0109621","ELH000860","BCAR4","BCAR4","ENSG00000262117.6","80","30395134","400500","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","11819829","11828845","-","0","0","0","1"
"NONHSAG036120.3","HSALNG0029047","ELH001823","BFSP2-AS1","BFSP2-AS1","ENSG00000249993.2","81","30395134","85003","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","133429269","133455776","-","0","0","0","1"
"NONHSAG027421.2","HSALNG0146433","ELH001572","BIRC6-AS1","BIRC6-AS1","ENSG00000230046.1","82","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","32377631","32379599","-","0","0","0","1"
"NONHSAG033390.3","HSALNG0134318","ELH001746","BMS1P20","N.A.","ENSG00000286129.1","83","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","22303224","22322847","+","0","0","0","1"
"NONHSAG031035.3","HSALNG0023698","ELH001550","BOK-AS1","BOK-AS1","ENSG00000234235.2","84","30395134","100379249","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","241544403","241558977","-","0","0","0","1"
"NONHSAG051255.3","HSALNG0068436","ELH002392","CASC11","CASC8,CASC11","ENSG00000249375.9","85","30395134","100270680","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr8","127686343","127733967","-","0","0","0","1"
"NONHSAG099742.2","HSALNG0068422","ELH002386","CASC19","CCAT1,CASC19,PCAT2","ENSG00000254166.5","86","30395134","103021165","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr8","127185635","127203222","-","0","0","0","1"
"NONHSAG051250.2","HSALNG0068395","ELH002390","CASC21","PCAT1,CASC21","ENSG00000253438.6","87","30395134","103021164","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr8","127339274","127392631","+","0","0","0","1"
"NONHSAG099742.2","HSALNG0068422","ELH002387","CCAT1","CCAT1,CASC19,PCAT2","ENSG00000254166.5","88","30395134","100507056","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr8","127207866","127219088","-","0","0","0","1"
"NONHSAG005838.3","HSALNG0077804","ELH000291","CH17-360D5.2","N.A.","ENSG00000276850.6","89","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr10","47908064","47991850","-","0","0","0","1"
"NONHSAG004779.2","HSALNG0011896","ELH000171","CHRM3-AS1","CHRM3-AS1","ENSG00000234601.2","90","30395134","100873984","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr1","239898016","239899872","-","0","0","0","1"
"NONHSAG040870.3","HSALNG0043020","ELH002099","CKMT2-AS1","CKMT2-AS1","ENSG00000247572.10","91","27798563","100131067","[CRISPR delete] Verified by the CRISPR delete experiment. ","Human","N.A.","chr5","81204084","81301560","-","0","0","0","1"
"NONHSAG000484.2","HSALNG0142125","ELH000080","CROCCP2","N.A.","ENSG00000291072.2","92","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr1","16618262","16644683","-","0","0","0","1"
"NONHSAG034032.2","N.A.","ELH001784","CTA-250D10.23","N.A.","N.A.","93","27798563","N.A.","[CRISPR delete] Verified by the CRISPR delete experiment. ","Human","N.A.","chr22","41922023","41923100","-","0","0","0","1"
"NONHSAG033735.2","HSALNG0135006","ELH001764","CTA-342B11.2","LINC02558","ENSG00000230866.3","94","30395134","105372999","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","31970823","31973475","+","0","0","0","1"
"NONHSAG024637.3","HSALNG0123630","ELH001415","CTB-133G6.2","N.A.","ENSG00000267852.2","95","30395134","118827816","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","7390522","7395039","-","0","0","0","1"
"NONHSAG076349.1","N.A.","ELH001414","CTB-25J19.1","N.A.","N.A.","96","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","7018971","7021432","-","0","0","0","1"
"NONHSAG072058.1","HSALNG0110123","ELH000885","CTB-31N19.5","N.A.","ENSG00000273956.2","97","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr16","21526824","21531141","-","0","0","0","1"
"NONHSAG024391.2","HSALNG0123081","ELH001322","CTB-31O20.3","N.A.","ENSG00000267007.1","98","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","1815249","1815873","+","0","0","0","1"
"NONHSAG024393.2","HSALNG0123085","ELH001323","CTB-31O20.4","N.A.","ENSG00000267244.5","99","30395134","100288123","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","1822089","1824542","+","0","0","0","1"
"NONHSAG024395.2","HSALNG0145642","ELH001324","CTB-31O20.6","N.A.","ENSG00000267125.2","100","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","1852382","1853622","+","0","0","0","1"
"NONHSAG042270.2","HSALNG0046701","ELH002045","CTB-33O18.3","N.A.","ENSG00000253955.2","101","30395134","285593","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","173579643","173585068","+","0","0","0","1"
"NONHSAG021981.2","HSALNG0116858","ELH001115","CTB-39G8.3","N.A.","ENSG00000267344.1","102","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","45396932","45397477","+","0","0","0","1"
"NONHSAG025907.2","HSALNG0126296","ELH001364","CTB-50E14.4","N.A.","ENSG00000268605.1","103","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","42424384","42425071","-","0","0","0","1"
"NONHSAG109630.1","N.A.","ELH001386","CTB-60B18.10","N.A.","N.A.","104","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","49018247","49019484","-","0","0","0","1"
"NONHSAG021584.2","HSALNG0116007","ELH001075","CTB-91J4.1","N.A.","ENSG00000276241.2","105","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr17","36116177","36177510","+","0","0","0","1"
"NONHSAG042257.2","HSALNG0046671","ELH002043","CTC-209H22.3","N.A.","ENSG00000253172.1","106","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","173144162","173145039","-","0","0","0","1"
"NONHSAG024923.2","HSALNG0124207","ELH001303","CTC-250I14.3","N.A.","ENSG00000267512.1","107","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","13139617","13141147","-","0","0","0","1"
"NONHSAG024925.2","HSALNG0124211","ELH001304","CTC-250I14.6","N.A.","ENSG00000267598.1","108","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","13153071","13154193","-","0","0","0","1"
"NONHSAG091452.2","HSALNG0047230","ELH002052","CTC-338M12.2","LINC01962","ENSG00000248473.3","109","30395134","102577426","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","181191046","181191852","-","0","0","0","1"
"NONHSAG042491.3","HSALNG0047235","ELH002053","CTC-338M12.6","N.A.","ENSG00000250900.7","110","30395134","107986496","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","181195496","181203103","+","0","0","0","1"
"NONHSAG041938.2","HSALNG0045844","ELH002026","CTC-367J11.1","NDST1-AS1","ENSG00000254333.2","111","30395134","102546298","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","150475531","150485968","-","0","0","0","1"
"NONHSAG024913.2","HSALNG0124191","ELH001301","CTC-425F1.4","N.A.","ENSG00000267458.1","112","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","12944118","12944487","-","0","0","0","1"
"NONHSAG042062.2","HSALNG0046167","ELH002036","CTC-436K13.6","N.A.","ENSG00000253449.1","113","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr5","158225352","158234376","-","0","0","0","1"
"NONHSAG026153.2","HSALNG0126835","ELH001383","CTC-453G23.4","N.A.","ENSG00000269321.1","114","30395134","107985293","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","48145908","48147413","+","0","0","0","1"
"NONHSAG025319.2","HSALNG0124990","ELH001329","CTC-457E21.9","N.A.","ENSG00000268981.6","115","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","22665552","22716991","-","0","0","0","1"
